"study","group","trial","condition","Respembed","Respdelay","Respradius","HRembed","HRdelay","HRradius","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","pair"
"1","urrogateGroup4&1d","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.340923062173519,87.4755891160005,1769,17,3.79819106840023,1.81153882340096,93.0998567894805,4.82198246797033,13.9533871656072,96.9118164897631,77504,58,4.97138212221305,2.23626302198032,99.0801851199759,6.65410472972973,"Surrogate"
"1","urrogateGroup4&2a_SelfPaced.csv","",NA,NA,NA,NA,NA,NA,NA,0.472783409806817,85.2682145716573,1808,11,3.53429203539823,1.67682232494272,96.1969575660528,6.34036939313984,13.7633936513949,96.7551714671921,48661,38,5.72209777850846,2.41225543417958,98.12009826917,6.77636189104872,"Surrogate"
"1","urrogateGroup4&2a_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.320105437059634,68.938729482521,1768,10,3.11199095022624,1.42608432622008,92.4570855782483,5.96523848019402,12.9510291924088,95.269007281307,64517,28,5.9643504812685,2.18633380791622,97.2486513117989,26.6087251049993,"Surrogate"
"1","urrogateGroup4&2a","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.266666548306015,86.4513981358189,1183,21,4.3905325443787,1.95137162063605,95.4560585885486,7.37146529562982,10.7220468992161,94.3454835879912,67679,28,4.25882474622852,1.98821286647906,96.4570485879257,8.42772979465767,"Surrogate"
"1","urrogateGroup4&2b_SelfPaced.csv","",NA,NA,NA,NA,NA,NA,NA,0.610883607840861,88.0822059279149,1789,43,4.76746785913918,2.10278057840339,92.2957761024476,6.2409217877095,12.1345381641348,95.7303831343631,49695,52,4.88761444813361,2.19521126480112,99.0666987226227,7.84577207603708,"Surrogate"
"1","urrogateGroup4&2b_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,1.79509321401341,95.7100723925284,7112,57,6.02305961754781,2.30623458563918,97.2741084994191,7.01288659793814,12.2279203631191,94.6074433801221,78132,46,4.61774944964931,2.1093421819761,98.1455793622282,6.8095515327936,"Surrogate"
"1","urrogateGroup4&2b","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.873102142431362,90.9613136088659,3943,69,4.53791529292417,2.01825626807387,95.4806568044329,6.33670715249663,12.0689885110397,97.1022457958574,72139,54,4.6288692662776,2.13005510813334,99.0552129042389,6.63895223060282,"Surrogate"
"1","urrogateGroup4&2c_SelfPaced.csv","",NA,NA,NA,NA,NA,NA,NA,0.409379709932805,89.7056557250732,1418,20,4.10507757404795,1.88474319360103,98.3664663276314,8.60242587601078,12.5443585490761,95.592698214204,49786,34,5.03619491423292,2.24868548297805,97.4966830860263,6.012696621288,"Surrogate"
"1","urrogateGroup4&2c_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.289422482624022,69.8032150776053,1489,13,3.38280725319006,1.59866206512258,95.5792682926829,7.5625,13.0107004202958,95.9045966700512,72427,64,5.37305148632416,2.32050105613414,97.2620092071409,6.27234150760477,"Surrogate"
"1","urrogateGroup4&2c","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.311717571363706,81.0764630499786,1649,27,3.45300181928441,1.60069533880764,99.1314253168162,5.28224582701062,11.1962613148851,96.8958059055858,65190,32,4.74178554993097,2.16757269599775,98.5195285562034,5.85010702652396,"Surrogate"
"1","urrogateGroup4&2d_SelfPaced.csv","",NA,NA,NA,NA,NA,NA,NA,0.685769370776635,89.8804047838086,2193,44,4.45508435932513,2.01966503251884,94.0294388224471,6.14242788461539,10.7891469576014,95.6208553494805,43539,60,4.95447759480006,2.19493864084696,98.956080002837,7.55608583807203,"Surrogate"
"1","urrogateGroup4&2d_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.919084837767388,89.5046912502728,4319,56,4.74878444084279,2.13180728133413,95.3698450796422,6.36400698893419,23.8982145445171,97.7463583098425,100402,32,7.256130355969,2.50839318552259,99.3091622871572,8.14922711058264,"Surrogate"
"1","urrogateGroup4&2d","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.462893713762222,88.6949851375971,2136,19,4.33052434456929,2.01166811569796,94.3810528334452,6.27342256214149,15.0012774870286,96.3470725578914,76624,51,5.37460847776154,2.31424754552018,99.5615738422882,7.34136075075904,"Surrogate"
"1","urrogateGroup4&3a_SelfPaced.csv","",NA,NA,NA,NA,NA,NA,NA,0.564450649525166,88.0295070973511,1885,21,4.17824933687003,1.93178932111621,98.3011065161507,10.8179581795818,19.1843670429611,97.5062885007067,52309,101,7.47722189298209,2.76227431176442,98.5119500210655,9.7551101017083,"Surrogate"
"1","urrogateGroup4&3a_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.834937336583186,68.1077965124658,4294,12,3.30181648812296,1.55362956431577,94.8887928135658,7.2408357771261,15.0420231656468,98.1599747614703,62785,96,7.33442701282153,2.72852755813259,99.1326387053316,9.25151189623617,"Surrogate"
"1","urrogateGroup4&3a","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.509942072817544,77.9702323962051,2410,30,3.71701244813278,1.7080980271835,91.6877012794847,6.5064854848672,12.8918094831652,96.8018032733331,70275,63,5.05989327641409,2.24839401263891,98.3181427155815,5.87901873646856,"Surrogate"
"1","urrogateGroup4&3b_SelfPaced.csv","",NA,NA,NA,NA,NA,NA,NA,1.21135765301584,91.7920941617624,3311,127,5.32316520688614,2.13322425408464,96.0887453778449,7.73260687342833,11.6815309653759,96.7156736308142,44618,58,5.29447756510825,2.29915725655416,99.0280490151524,7.41521812440602,"Surrogate"
"1","urrogateGroup4&3b_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.715093326317031,88.7991474563913,4210,14,3.76057007125891,1.78011787544809,95.0922654102866,5.83614457831325,11.5462703719047,95.7284087753402,66190,48,5.20800725185073,2.27295536021001,98.2121632879756,6.80472553056395,"Surrogate"
"1","urrogateGroup4&3b","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.36688843014273,89.1967094120494,1791,27,4.11669458403127,1.91666463293824,95.8504718122429,5.16156351791531,12.6561412030278,96.4904594070718,70147,47,4.96045447417566,2.2270016213483,99.0690954669358,6.68275346053124,"Surrogate"
"1","urrogateGroup4&3c_SelfPaced.csv","",NA,NA,NA,NA,NA,NA,NA,0.78860323226384,85.488,3007,12,3.55370801463252,1.67645822142847,97.376,6.67690619857378,18.4970127924795,98.1590507734831,49771,87,7.62767475035663,2.78051817183561,98.9753255920384,9.55408575849848,"Surrogate"
"1","urrogateGroup4&3c_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,0.179685798524892,66.1383928571429,1001,11,2.96003996003996,1.32006097709607,96.6741071428572,4.69230769230769,15.9892598202617,97.8927779315213,66636,89,7.32573984032655,2.73438483241139,98.9161081766152,9.00472817554493,"Surrogate"
"1","urrogateGroup4&3c","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.193297739326347,83.9035591274397,1051,35,3.476688867745,1.63002721549974,95.6601607347876,5.47437582128778,13.0188913658723,96.8138820820967,65684,59,5.4676024602643,2.36796020783611,98.2798359900041,7.01747767169695,"Surrogate"
"1","urrogateGroup4&3d_SelfPaced.csv","",NA,NA,NA,NA,NA,NA,NA,1.74868035135113,93.5096327296342,4135,90,6.26819830713422,2.44030837776837,96.7025037881521,8.38148843026892,13.2680126796103,96.2032708174881,48489,74,5.50413495844418,2.34981103461938,99.0318034193272,7.54398923609204,"Surrogate"
"1","urrogateGroup4&3d_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,2.68213141048138,93.0733341308769,10812,120,5.75656677765446,2.34722193023533,96.0461777724608,6.96767194619223,10.8151455259725,96.1188622523703,63445,66,5.11004807313421,2.25185428072482,98.1618628038115,6.5858694354935,"Surrogate"
"1","urrogateGroup4&3d","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,1.59489498673103,91.876548019926,4867,188,6.78323402506678,2.45192459132004,95.8700915592909,8.99451697127937,10.8695896318591,95.8351629901328,69117,43,4.29435594716206,2.00801548381588,98.944503280467,6.52061877606605,"Surrogate"
"2","urrogateGroup10&5a_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,1.6409275134908,82.8608032797386,19759,18,3.27329318285338,1.51409219910144,85.3321375952854,3.40243154883531,16.8471476385592,98.0350188580181,123916,95,7.47383711546531,2.76004566868043,98.8890547279481,10.0724112649329,"Surrogate"
"2","urrogateGroup10&5a","urnTaking.csv",NA,NA,NA,NA,NA,NA,NA,0.346117873065306,82.4951409135083,3955,18,3.43413400758533,1.5808632543687,87.9312439261419,4.07343837929094,12.3760393364226,97.4002020239864,140160,48,4.82259560502283,2.18255065960031,98.3502335091797,5.63021134080148,"Surrogate"
"2","urrogateGroup10&5b_Synchronous.csv","",NA,NA,NA,NA,NA,NA,NA,1.58231620213839,93.3981691843703,13009,111,5.40379737105081,2.20560354402729,96.1257921798398,6.6615412945401,12.7064762714573,96.0426999912983,130834,71,5.23036825290062,2.28123101512659,98.2520848947237,6.99877030742314,"Surrogate"
